,precision,recall,f1-score,support
1,1.0,0.9142857142857143,0.955223880597015,35.0
2,0.7924528301886793,0.9767441860465116,0.875,43.0
3,0.9545454545454546,0.7241379310344828,0.823529411764706,29.0
accuracy,0.8878504672897196,0.8878504672897196,0.8878504672897196,0.8878504672897196
macro avg,0.9156660949113778,0.8717226104555694,0.8845844307872404,107.0
weighted avg,0.9042737371956204,0.8878504672897196,0.8872914837576821,107.0
