,precision,recall,f1-score,support
1,0.8571428571428571,1.0,0.923076923076923,6.0
2,1.0,0.8571428571428571,0.923076923076923,7.0
3,0.8,0.8,0.8000000000000002,5.0
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
macro avg,0.8857142857142858,0.8857142857142858,0.882051282051282,18.0
weighted avg,0.8968253968253967,0.8888888888888888,0.8888888888888888,18.0
